Date,Adj Close,Close,High,Low,Open,Volume
2018-03-14,0.48069998621940613,0.48069998621940613,0.5320500135421753,0.4261170029640198,0.45405200123786926,1203240
2018-03-15,0.43383699655532837,0.43383699655532837,0.4946030080318451,0.4002540111541748,0.46261799335479736,884277
2018-03-16,0.46832600235939026,0.46832600235939026,0.5021039843559265,0.3792789876461029,0.44694000482559204,800340
2018-03-17,0.3859669864177704,0.3859669864177704,0.4764130115509033,0.37531399726867676,0.45818600058555603,246643
2018-03-18,0.3755039870738983,0.3755039870738983,0.4119659960269928,0.3021340072154999,0.38561901450157166,551084
2018-03-19,0.3893890082836151,0.3893890082836151,0.4237920045852661,0.3564780056476593,0.374006986618042,266754
2018-03-20,0.4813390076160431,0.4813390076160431,0.49484699964523315,0.3850429952144623,0.3925060033798218,773213
2018-03-21,0.4599109888076782,0.4599109888076782,0.5016559958457947,0.42865800857543945,0.4842419922351837,364712
2018-03-22,0.49360400438308716,0.49360400438308716,0.629306972026825,0.4504539966583252,0.46103599667549133,1344270
2018-03-23,0.49705299735069275,0.49705299735069275,0.6185799837112427,0.4473569989204407,0.49351200461387634,727708
2018-03-24,0.5177000164985657,0.5177000164985657,0.571628987789154,0.49030399322509766,0.5031399726867676,519638
2018-03-25,0.5248259902000427,0.5248259902000427,0.6291229724884033,0.4945310056209564,0.5115000009536743,1075170
2018-03-26,0.4696359932422638,0.4696359932422638,0.5910570025444031,0.44831299781799316,0.5308859944343567,896707
2018-03-27,0.4397900104522705,0.4397900104522705,0.4779370129108429,0.4130919873714447,0.4722130000591278,420696
2018-03-28,0.4046750068664551,0.4046750068664551,0.44867101311683655,0.39028701186180115,0.43992000818252563,387602
2018-03-29,0.3321169912815094,0.3321169912815094,0.42261800169944763,0.3247910141944885,0.3976599872112274,308653
2018-03-30,0.353206992149353,0.353206992149353,0.3900020122528076,0.30356499552726746,0.32862499356269836,371441
2018-03-31,0.35562899708747864,0.35562899708747864,0.38996198773384094,0.34742701053619385,0.3529430031776428,89341
2018-04-01,0.34084099531173706,0.34084099531173706,0.3644219934940338,0.315185010433197,0.35570698976516724,197242
2018-04-02,0.3536750078201294,0.3536750078201294,0.3626610040664673,0.33791300654411316,0.341607004404068,226673
2018-04-03,0.3489510118961334,0.3489510118961334,0.5365719795227051,0.30531901121139526,0.3540630042552948,1166590
2018-04-04,0.33656999468803406,0.33656999468803406,0.37376201152801514,0.3215309977531433,0.349045991897583,164899
2018-04-05,0.33199599385261536,0.33199599385261536,0.33876198530197144,0.3150840103626251,0.33638399839401245,57163
2018-04-06,0.31121399998664856,0.31121399998664856,0.33131301403045654,0.304502010345459,0.33054599165916443,58303
2018-04-07,0.3288100063800812,0.3288100063800812,0.34821099042892456,0.3112980127334595,0.3112980127334595,88474
2018-04-08,0.3624489903450012,0.3624489903450012,0.36722901463508606,0.32821598649024963,0.32872700691223145,150877
